-DOCSTART- -X- O O
A	O
successful	O
member	O
of	O
our	O
team	O
will	O
have	O
:	O
5	B-EXPERIENCE
+	I-EXPERIENCE
years	I-EXPERIENCE
of	O
industry	B-SKILL
experience	O
developing	B-SKILL
and	I-SKILL
implementing	I-SKILL
tools	I-SKILL
and	O
applications	O
at	O
scale	O
.	O
BS	B-DIPLOMA
/	I-DIPLOMA
MS	I-DIPLOMA
in	O
Computer	B-DIPLOMA_MAJOR
Science	I-DIPLOMA_MAJOR
or	O
equivalent	O
industry	B-SKILL
experience	O
.	O
Demonstrated	O
CS	B-SKILL
fundamentals	I-SKILL
with	O
a	O
deep	O
appreciation	O
for	O
the	O
differences	O
between	O
platforms	O
and	O
environments	O
.	O
Demonstrated	O
technical	O
design	O
,	O
problem	B-SKILL
solving	I-SKILL
and	O
debugging	O
skills	O
.	O
Unwavering	O
passion	O
to	O
understand	O
and	O
simplify	O
the	O
developer	O
experience	O
.	O
Fantastic	B-SKILL
communication	I-SKILL
skills	O
.	O
A	O
track	O
record	O
of	O
working	O
collaboratively	O
to	O
understand	O
customer	O
needs	O
and	O
create	B-SKILL
solutions	I-SKILL
that	O
positively	O
impact	O
our	O
customers	O
.	O
-DOCSTART- -X- O O
BA	B-DIPLOMA
/	O
BS	B-DIPLOMA
degree	O
7	B-EXPERIENCE
+	I-EXPERIENCE
years	I-EXPERIENCE
experience	O
in	O
brand	B-SKILL
and/or	O
product	B-SKILL
marketing	I-SKILL
in	O
the	O
consumer	O
technology	O
sector	O
Experience	O
managing	O
the	O
marketing	O
communications	B-SKILL
process	I-SKILL
from	O
research	B-SKILL
and	O
insight	B-SKILL
to	O
execution	B-SKILL
and	O
optimization	B-SKILL
in	O
-	O
market	O
Experience	O
driving	B-SKILL
initiatives	I-SKILL
at	O
both	O
a	O
strategic	O
and	O
executional	O
level	O
Quantitative	O
analytical	O
experience	O
Demonstrated	O
experience	O
communicating	B-SKILL
concepts	I-SKILL
Experience	O
with	O
consumer	B-SKILL
hardware	I-SKILL
PREFERRED	O
MBA	B-DIPLOMA
Experience	O
and	O
exposure	O
to	O
AR	B-SKILL
/	I-SKILL
VR	I-SKILL
/	O
Smart	B-SKILL
Home	I-SKILL
market	O
dynamics	O
and	O
realities	B-SKILL
,	O
the	O
competitive	O
landscape	O
,	O
and	O
technology	B-SKILL
trends	I-SKILL
across	O
mobile	O
apps	O
,	O
augmented	O
reality	O
,	O
virtual	B-SKILL
reality	I-SKILL
,	O
artificial	B-SKILL
intelligence	I-SKILL
,	O
and	O
more	O
Experience	O
launching	O
category	B-SKILL
-	I-SKILL
redefining	I-SKILL
consumer	B-SKILL
hardware	I-SKILL
products	O
Experience	O
with	O
Gaming	B-SKILL
Startup	I-SKILL
experience	O
Passionate	O
about	O
technology	O
,	O
internet	O
and	O
connectivity	B-SKILL
trends	I-SKILL
Experience	O
with	O
traditional	O
,	O
mass	B-SKILL
media	I-SKILL
campaign	I-SKILL
development	I-SKILL
,	O
like	O
television	O
and	O
out	O
of	O
home	O
,	O
to	O
drive	O
brand	O
awareness	O
and	O
customer	B-SKILL
adoption	I-SKILL
Sees	I-SKILL
ambiguity	O
as	O
opportunity	O
Enjoys	O
working	O
closely	O
many	O
cross	O
-	O
functional	O
teams	O
Comfort	O
in	O
a	O
fast	O
-	O
paced	O
entrepreneurial	O
environment	O
-DOCSTART- -X- O O
MS	B-DIPLOMA
/	I-DIPLOMA
Ph	I-DIPLOMA
.	I-DIPLOMA
D.	I-DIPLOMA
in	O
CS	B-DIPLOMA_MAJOR
/	I-DIPLOMA_MAJOR
EE	I-DIPLOMA_MAJOR
or	O
related	O
areas	O
is	O
required	O
.	O
Strong	O
ability	O
and	O
effectiveness	O
working	O
in	O
a	O
significant	O
technical	O
problem	O
domain	O
,	O
in	O
the	O
term	O
of	O
plan	B-SKILL
,	O
design	B-SKILL
,	O
execution	B-SKILL
,	O
continuous	O
release	O
and	O
service	B-SKILL
operation	I-SKILL
.	O
Strong	O
software	B-SKILL
engineering	I-SKILL
fundamentals	O
,	O
including	O
coding	B-SKILL
,	O
problem	B-SKILL
solving	I-SKILL
and	O
data	B-SKILL
analysis	I-SKILL
skills	O
.	O
Background	O
in	O
machine	B-SKILL
learning	I-SKILL
/	I-SKILL
deep	I-SKILL
learning	O
(	O
strongly	O
preferred	O
)	O
.	O
Passionate	O
and	O
self	O
-	O
motivated	O
.	O
Ability	O
to	O
effectively	O
work	O
in	O
collaborative	B-SKILL
multiple	I-SKILL
project	I-SKILL
team	O
environment	O
and	O
ship	O
production	O
features	O
in	O
a	O
fast	O
-	O
paced	O
environment	O
.	O
Good	O
communication	B-SKILL
skills	O
,	O
both	O
verbal	B-SKILL
and	O
written	B-SKILL
.	O
Customer	B-SKILL
/	I-SKILL
end	I-SKILL
result	B-SKILL
/	I-SKILL
Metrics	I-SKILL
driven	O
in	O
design	B-SKILL
and	O
development	B-SKILL
.	O
Strong	O
ability	O
in	O
self	B-SKILL
-	I-SKILL
learning	I-SKILL
,	O
entering	O
new	O
domain	O
,	O
managing	O
through	O
uncertainty	O
in	O
an	O
innovative	O
team	O
environment	O
-DOCSTART- -X- O O
1	B-EXPERIENCE
+	I-EXPERIENCE
years	I-EXPERIENCE
development	B-SKILL
experience	O
on	O
Java	B-SKILL
stack	I-SKILL
AppConnect	B-SKILL
/	O
API	B-SKILL
's	O
experience	O
is	O
added	O
advantage	O
.	O
Compute	B-SKILL
,	O
Network	B-SKILL
and	O
Storage	B-SKILL
Monitoring	I-SKILL
Tools	I-SKILL
(	O
Ex	O
:	O
Netcool	B-SKILL
)	O
Application	B-SKILL
Performance	I-SKILL
Tools	I-SKILL
(	O
IBM	B-SKILL
APM	I-SKILL
)	O
Cloud	B-SKILL
operations	I-SKILL
and	O
Automation	B-SKILL
Tools	I-SKILL
(	O
VmWare	B-SKILL
,	O
ICAM	B-SKILL
,	O
...	O
)	O
Proven	O
Record	O
of	O
developing	O
enterprise	O
class	O
products	O
and	O
applications	O
.	O
Preferred	O
Tech	B-SKILL
and	O
Prof	B-SKILL
Experience	O
None	O
EO	O
Statement	O
IBM	O
is	O
committed	O
to	O
creating	O
a	O
diverse	O
environment	O
and	O
is	O
proud	O
to	O
be	O
an	O
equal	O
opportunity	O
employer	O
.	O
All	O
qualified	O
applicants	O
will	O
receive	O
consideration	O
for	O
employment	O
without	O
regard	O
to	O
race	O
,	O
color	O
,	O
religion	O
,	O
gender	O
,	O
gender	O
identity	O
or	O
expression	O
,	O
sexual	O
orientation	O
,	O
national	O
origin	O
,	O
genetics	O
,	O
disability	O
,	O
age	O
,	O
or	O
